datetime,ppt,tmin,tmax
1981-01-01,0.0,-8.206060276031494,2.749499974250793
1981-01-02,0.0,-11.44733985900879,-1.5758799958229066
1981-01-03,0.0,-22.95835994720459,-3.675359945297241
1981-01-04,0.0,-21.841879806518552,-13.48694013595581
1981-01-05,0.0,-18.516319580078125,-8.718840103149414
1981-01-06,1.3296999955177309,-12.124279956817627,0.2330799999833107
1981-01-07,0.4297999954223633,-21.684939880371093,-6.05520007133484
1981-01-08,0.4964599865674972,-24.26592041015625,-14.86755994796753
1981-01-09,0.0,-25.234979896545408,-10.400539836883544
1981-01-10,1.174340009689331,-26.09902042388916,-16.407660636901856
1981-01-11,0.0,-27.37453990936279,-12.892939720153809
1981-01-12,0.0,-22.93620044708252,-3.70341995716095
1981-01-13,0.0,-10.544080066680907,-0.331720001399517
1981-01-14,0.0,-8.116500186920167,-0.4047000032663345
1981-01-15,0.0,-13.885599880218503,-3.07410002231598
1981-01-16,0.0,-20.317379264831544,-11.861920127868652
1981-01-17,0.0,-16.39219982147217,-5.171760110855102
1981-01-18,0.0,-13.795340023040772,0.8923999929428101
1981-01-19,0.0,-13.115120029449464,1.0638000082969663
1981-01-20,0.0,-11.586599998474124,-3.1451599740982057
1981-01-21,0.0,-13.569139671325685,-3.158739929199219
1981-01-22,0.0,-11.99102029800415,2.592120013237
1981-01-23,0.0,-11.359440002441406,4.585959959030151
1981-01-24,0.0,-6.17473994255066,8.665000019073487
1981-01-25,0.0,-4.5711198425292965,8.936800346374511
1981-01-26,1.2089799857139587,-3.9439400386810304,-0.2914600065350533
1981-01-27,0.0,-21.01496044158936,-3.7847600793838505
1981-01-28,0.0,-20.016080436706545,-9.401999778747555
1981-01-29,0.0,-22.66706005096436,-11.258779754638672
1981-01-30,0.0,-20.89953941345215,-10.37684003829956
1981-01-31,0.0,-13.23309995651245,-3.9860400485992433
1981-02-01,0.8208600187301636,-20.93041957855225,-5.133880205154418
1981-02-02,0.0,-23.20301975250244,-16.311040267944335
1981-02-03,0.0,-22.56781925201416,-14.132019691467285
1981-02-04,0.0,-22.067379837036132,-11.917679710388184
1981-02-05,0.0412400002777576,-22.00091972351074,-4.819780054092407
1981-02-06,0.0,-14.076940383911134,-5.27160005569458
1981-02-07,1.6938600182533263,-15.061219940185548,-4.700420083999633
1981-02-08,0.0,-23.401200523376467,-14.78888023376465
1981-02-09,0.3654800105094909,-24.580879402160644,-15.015979671478272
1981-02-10,0.0,-27.269639930725106,-19.387319259643554
1981-02-11,0.0,-29.76915916442871,-23.48571945190429
1981-02-12,0.0,-28.043720588684085,-16.87378070831299
1981-02-13,0.0,-23.714140625,-9.462700176239014
1981-02-14,0.0,-13.608199729919432,-1.2438199937343597
1981-02-15,0.0,-4.087079916000366,5.786399955749512
1981-02-16,0.0,-1.61671998500824,7.190639867782593
1981-02-17,0.0,-0.9929200053215026,9.59568027496338
1981-02-18,0.0,-0.7469799828529358,9.241799736022948
1981-02-19,0.0,-0.0089600010961294,9.499560108184816
1981-02-20,0.0,-1.042059998512268,8.614900093078614
1981-02-21,0.0,-0.3471600085496902,10.313239631652833
1981-02-22,0.0,-2.398320050239563,8.290460186004639
1981-02-23,0.0,-4.132659997940063,5.241520156860352
1981-02-24,0.0,-4.76585997581482,9.713560333251952
1981-02-25,0.0,-6.415979957580567,3.3865199851989747
1981-02-26,0.0,-6.792860069274903,2.0270799374580384
1981-02-27,3.8299000406265264,-4.394140062332154,7.419819974899292
1981-02-28,2.7315800380706787,-5.053599910736084,0.8844400107860565
1981-03-01,0.0,-5.523139915466309,-0.1344800020754337
1981-03-02,0.0,-15.507880077362062,-2.102099981307984
1981-03-03,0.0,-14.542899703979492,-2.088299994468689
1981-03-04,0.0,-8.119120025634766,4.56304009437561
1981-03-05,0.0,-8.321280384063721,0.4664199924468993
1981-03-06,0.0,-10.93748014450073,-0.3964599913358688
1981-03-07,0.0,-11.744719886779784,-0.1500199948251247
1981-03-08,0.0,-9.322219905853272,2.528199944496155
1981-03-09,0.0,-5.716459951400756,5.48501992225647
1981-03-10,0.0,-5.249759931564331,4.622380084991455
1981-03-11,0.0,-4.489259824752807,1.4622800302505492
1981-03-12,0.0,-3.576280012130737,13.011980361938477
1981-03-13,0.0,-6.004459934234618,8.647479972839356
1981-03-14,0.0,-5.546299953460694,6.126440057754517
1981-03-15,0.0,-2.364920082092285,12.28044023513794
1981-03-16,0.0,-5.004539928436279,8.172200241088868
1981-03-17,0.0,-5.95374005317688,16.578100204467773
1981-03-18,0.0,-8.119460010528565,2.1120399904251097
1981-03-19,0.0,-7.89441990852356,4.403020000457764
1981-03-20,0.0,-7.463080034255982,4.299400043487549
1981-03-21,0.0,-6.150639839172364,7.433740100860596
1981-03-22,0.0,-5.443140077590942,9.52096004486084
1981-03-23,0.0,-5.3153800106048585,8.301220073699952
1981-03-24,0.0,-3.704520049095154,15.693979911804195
1981-03-25,0.666239994764328,-1.375600044727325,15.977680397033692
1981-03-26,0.0,-2.224560084342957,6.675520067214966
1981-03-27,0.0,-3.15137996673584,6.692220010757446
1981-03-28,2.7318599605560303,-1.4364600038528443,12.005979843139649
1981-03-29,0.0,-1.2002599692344664,8.87519968032837
1981-03-30,0.0,-1.4113199949264523,12.178360195159913
1981-03-31,6.675679988861084,0.7614999878406523,9.90025987625122
1981-04-01,5.46196008682251,-2.774179978370666,5.6593598365783695
1981-04-02,0.0,-1.2827799916267395,14.764979705810546
1981-04-03,0.0,-0.4558600169420242,15.754420013427737
1981-04-04,0.0,-3.746060075759888,5.413920059204102
