datetime,pr,tmmn,tmmx
1980-01-01,0.0,261.08486511230467,271.1582843017578
1980-01-02,0.0,252.8949847412109,264.6784564208984
1980-01-03,0.0,251.54568054199217,263.6284155273437
1980-01-04,1.446136140823364,259.685023803711,267.0183306884765
1980-01-05,2.072598919868469,260.40551330566404,267.21846496582026
1980-01-06,7.888770313262938,251.3552661132812,267.3785906982422
1980-01-07,0.0,247.604716796875,255.44877593994136
1980-01-08,0.0,241.3247943115234,251.44831817626957
1980-01-09,0.0,239.0152087402344,251.928664855957
1980-01-10,0.8330263936519623,247.64585449218748,262.50841247558594
1980-01-11,0.4265804982185363,242.44489624023436,257.4586993408203
1980-01-12,0.0977860808372497,241.5057940673828,265.4685339355469
1980-01-13,0.0,259.6450457763672,275.6985369873047
1980-01-14,0.0,260.63585998535154,269.0488787841797
1980-01-15,0.0,261.1953387451172,272.37856018066407
1980-01-16,0.0,258.4555926513672,268.3384783935547
1980-01-17,0.0,257.5858215332031,268.11851989746094
1980-01-18,0.0,258.2452044677734,267.8286029052734
1980-01-19,0.0,253.7247882080078,266.36858886718744
1980-01-20,0.0,256.1354327392578,268.34898864746094
1980-01-21,0.0,259.83544494628904,272.7084857177734
1980-01-22,0.3171883106231689,255.165767211914,269.62870239257813
1980-01-23,0.8393947160243987,254.45585205078123,276.2884600830078
1980-01-24,0.442193282842636,259.4252581787109,275.8384375
1980-01-25,0.0,248.3158068847656,262.4186602783203
1980-01-26,0.0,247.73517944335936,256.0285845947265
1980-01-27,0.0,248.30521728515623,256.31850158691407
1980-01-28,0.0,248.11481811523436,256.00836975097656
1980-01-29,0.0,246.90537597656248,256.418373413086
1980-01-30,0.0,248.4251055908203,258.81847106933594
1980-01-31,0.0,249.64077514648432,260.7929125976562
1980-02-01,0.0,250.6210250854492,261.84337829589845
1980-02-02,0.0,255.72089385986328,264.8237048339843
1980-02-03,0.0,258.43127197265625,266.9937487792968
1980-02-04,3.2040204668045043,260.5809912109375,271.0839788818359
1980-02-05,0.0,259.04125732421875,270.13299011230464
1980-02-06,0.1135018247365951,258.18090576171875,268.273462524414
1980-02-07,0.0,258.12096923828125,269.1735174560547
1980-02-08,0.0,258.3113684082031,269.1431829833984
1980-02-09,0.0,256.8010534667968,272.2339117431641
1980-02-10,0.0,257.160703125,266.61287902832026
1980-02-11,0.0,258.05083740234375,264.98382019042964
1980-02-12,0.0,256.30074584960937,268.4736071777344
1980-02-13,0.0,257.3009698486328,264.46344482421875
1980-02-14,0.0,254.75121826171875,262.42318176269526
1980-02-15,0.0,252.4208935546875,260.8839056396484
1980-02-16,0.0,252.7613500976562,263.27349304199214
1980-02-17,0.0,251.7211584472656,267.2739508056641
1980-02-18,0.0,258.50060791015625,270.49325012207026
1980-02-19,1.342807807922363,261.13104003906244,270.1232855224609
1980-02-20,0.0,260.73064697265625,268.1735906982421
1980-02-21,0.6506051087379455,258.580927734375,270.97359680175776
1980-02-22,0.0,259.8009393310547,269.0133917236328
1980-02-23,0.0,255.831372680664,271.3229418945312
1980-02-24,0.9458106458187102,256.83083618164056,266.3739263916016
1980-02-25,0.0,251.09116882324213,262.53356384277345
1980-02-26,1.4665804147720334,258.1409582519531,272.98352539062495
1980-02-27,0.6975462698936462,256.5906652832031,266.2138006591797
1980-02-28,0.0,245.7507479858398,264.6635992431641
1980-02-29,0.0,243.1077337646484,253.88226074218744
1980-03-01,0.0,244.92795196533203,261.74247497558594
1980-03-02,0.0,253.90767303466797,269.50280212402345
1980-03-03,0.0,256.48757324218747,266.9923223876953
1980-03-04,0.0,252.83809295654297,260.6726202392578
1980-03-05,0.0,251.02804962158203,263.4224676513672
1980-03-06,0.0,254.05811462402343,267.9428961181641
1980-03-07,0.0,255.94808349609372,271.29240173339844
1980-03-08,0.0,258.8077227783203,270.9927801513671
1980-03-09,0.0,263.86762878417966,278.6031317138672
1980-03-10,0.0,252.3479806518555,270.3523278808593
1980-03-11,0.0,255.25815216064453,265.5828271484375
1980-03-12,2.721566452980041,260.99742004394534,273.57282775878906
1980-03-13,0.0,259.1473937988281,273.68279479980464
1980-03-14,0.0,259.468275756836,269.9726586914062
1980-03-15,0.0,265.11820861816403,282.8227178955078
1980-03-16,0.0,263.0977722167969,273.4927801513672
1980-03-17,0.0,262.0975482177734,277.7722296142578
1980-03-18,0.0,267.7180926513672,282.28295349121095
1980-03-19,0.5490195971727371,271.7178283691406,285.06232971191406
1980-03-20,0.0,267.43834838867184,276.9825567626953
1980-03-21,1.000251133441925,266.2077575683594,274.7931036376953
1980-03-22,3.37062906742096,266.8577410888672,273.7426580810546
1980-03-23,0.0,263.46801147460934,273.5231042480468
1980-03-24,0.0,261.32769165039065,273.8429205322265
1980-03-25,0.6891242325305938,262.0775695800781,274.3127569580078
1980-03-26,0.0,265.1581665039063,276.51313537597656
1980-03-27,0.0,268.09773132324216,277.0828192138672
1980-03-28,0.0,266.98820373535153,276.90250915527344
1980-03-29,0.0,269.81767944335934,280.97289489746095
1980-03-30,0.0,270.77754089355466,283.392847290039
1980-03-31,0.0,270.86673828125,282.02221557617185
1980-04-01,0.0,268.2762738037109,279.5521551513672
1980-04-02,0.0,268.22650207519536,280.5722766113281
1980-04-03,0.0,268.6766668701172,280.73240234375
1980-04-04,0.0,269.08686401367186,285.30217346191404
1980-04-05,0.0,271.3462915039063,291.6323858642578
1980-04-06,0.0,275.80677124023435,294.9321478271484
1980-04-07,0.8731507658958435,272.7167645263672,287.8421820068359
1980-04-08,0.0,268.97638000488274,280.7420965576172
