datetime,prcp,tmin,tmax
1986-08-17,3.5850988532243515,7.656442654462671,24.210632343066067
1986-08-18,6.848379475325935,12.73561273167727,26.81836010250649
1986-08-19,0.0,15.947568963167695,30.952371604828965
1986-08-20,0.0,13.36017799000495,26.209506008464828
1986-08-21,3.966343862265938,5.630000114440918,20.574229040635903
1986-08-22,4.289051437566402,9.401462466349244,19.28642341176512
1986-08-23,0.0,7.484169884632698,25.362707454696476
1986-08-24,4.464051298473192,11.244604759065528,26.871502050769184
1986-08-25,2.936521799668021,11.27308304225032,25.05946585689137
1986-08-26,3.2101976664169976,7.5638340659763506,18.905197618507117
1986-08-27,0.0,5.733083058722875,20.15331985262543
1986-08-28,0.0,3.928419040597003,21.91345842459457
1986-08-29,0.0,7.475968324148607,25.83970370311511
1986-08-30,0.0,8.637095038598703,26.917410937222567
1986-08-31,0.0,12.573695604980228,25.34760899600304
1986-09-01,6.794762918600451,10.838676011609463,19.38926829462466
1986-09-02,8.97444647385669,11.34470345380278,16.864525606509723
1986-09-03,0.0,11.195059314546848,21.53672010625304
1986-09-04,0.0,7.224229179352168,19.198339918385383
1986-09-05,0.0,4.116956526111709,15.410296472164951
1986-09-06,0.0,1.2003755413967627,15.780632211285615
1986-09-07,0.0,1.6786758899688718,19.16300394789504
1986-09-08,0.0,2.3537746045900425,20.92565237957498
1986-09-09,5.455019790664492,6.654229196163977,17.590632657288563
1986-09-10,7.018340008060923,9.176422824030338,13.925098920528123
1986-09-11,6.922114573919726,9.557430740401678,18.86818261580034
1986-09-12,6.188162162841073,7.291620648425557,17.03521736808445
1986-09-13,0.0,2.1690909862518315,13.20132395024356
1986-09-14,12.381324268612463,4.647193742835004,11.07266814341187
1986-09-15,0.6536561264822135,4.303023778402759,13.487252759368053
1986-09-16,16.92162070443979,6.007964428234477,11.918873607876744
1986-09-17,4.113695562121425,8.320118677945947,13.340296554942377
1986-09-18,4.796916961669921,5.0994072243159,13.635118735166404
1986-09-19,2.950770779560677,7.318181991577148,12.847095076745678
1986-09-20,6.300573156756374,7.720157957830919,12.41563238739496
1986-09-21,19.33517793798635,9.087411249107996,15.195810076747486
1986-09-22,0.0,4.245592767542059,20.683616261237223
1986-09-23,0.0,7.170889250374595,22.814367154841364
1986-09-24,0.0,10.61148216413415,22.38158039801677
1986-09-25,21.13298369773292,11.734466590429012,23.46539446487728
1986-09-26,0.0,9.169940422646144,22.04486181236538
1986-09-27,0.0,7.948339866555254,20.225276113970008
1986-09-28,2.8494465671509155,7.594150211500084,15.076679742383392
1986-09-29,0.0,7.167766858466529,17.98448647058057
1986-09-30,0.0,2.9281423610189683,18.8004743553433
1986-10-01,10.301818084339848,5.166244965768144,15.333932908627355
1986-10-02,0.0,7.198023737654856,10.968833855489498
1986-10-03,0.0,1.91853751872368,8.737707633745998
1986-10-04,0.0,1.530118593820941,15.2630832167011
1986-10-05,0.8721343900846398,2.267430813416191,13.02405143632248
1986-10-06,0.0,1.333181803169929,20.42689673985417
1986-10-07,0.0,5.9173320790995705,18.07397231754107
1986-10-08,0.0,1.4016600536263506,8.815375603234815
1986-10-09,0.0,-2.17792487898363,10.55160105746725
1986-10-10,0.0,1.7967390966980823,9.510987956533318
1986-10-11,0.0,-1.0049209439236184,5.340316157095987
1986-10-12,0.0,-3.5126877349355943,3.025968373057399
1986-10-13,0.0,-3.7802568881408014,7.496007820363101
1986-10-14,0.0,-4.0866007932090005,9.054664329106629
1986-10-15,0.0,0.6163043561189071,17.140730805076625
1986-10-16,0.0,2.6166798342829165,19.50183798673125
1986-10-17,0.0,1.894565198732459,20.30237103262438
1986-10-18,0.0,3.9185969155767686,20.8318379104373
1986-10-19,0.0,4.625276679578035,21.37980245507282
1986-10-20,0.0,2.2840315880982773,21.130948526586
1986-10-21,0.0,2.263458485188692,22.254367688898984
1986-10-22,0.0,4.750375572400601,17.586363705721766
1986-10-23,0.0,0.6534585015104694,12.527845672939137
1986-10-24,0.0,-1.8802569148097583,6.858774838240249
1986-10-25,0.0,-2.8251382682634434,10.361778822812168
1986-10-26,0.0,-1.1138142399165942,20.13490146516341
1986-10-27,0.0,0.939130433227705,19.913300446370847
1986-10-28,0.0,2.7259486305855005,14.332332009854523
1986-10-29,0.0,-1.4323517456356245,8.770454376582572
1986-10-30,0.0,-2.182569234267525,9.81306338969898
1986-10-31,0.0,-4.248241048556543,6.977173913608898
1986-11-01,0.0,-10.40290492325432,3.497272729873657
1986-11-02,0.0,-10.219031448891982,8.275652310593795
1986-11-03,0.0,-4.398497998007672,5.600316213524859
1986-11-04,0.0,-6.674525644468225,10.14982226526313
1986-11-05,0.0,-1.5377075151492483,12.127628518658664
1986-11-06,7.770059260455045,-0.7687153994094713,7.797905126579194
1986-11-07,25.656225381632563,-5.556541573859957,0.5839130251775146
1986-11-08,18.865810198274996,-10.0604940384273,-3.42640321952081
1986-11-09,0.0,-14.62341902284283,-9.986264958212026
1986-11-10,0.0,-23.263537199600883,-11.914683675577518
1986-11-11,0.0,-23.61776672710072,-12.060474218587158
1986-11-12,0.0,-23.617489867530796,-14.021699667919297
1986-11-13,0.0,-24.59081036865476,-8.395118466479033
1986-11-14,0.0,-13.123498057188252,-4.708616502671374
1986-11-15,0.0,-15.010257112178875,-6.373853850270449
1986-11-16,0.0,-13.4553556103009,0.430355732619998
1986-11-17,0.0,-17.018695733292766,-4.281917040527103
1986-11-18,3.215652206669683,-23.22636326876553,-11.541087048798213
1986-11-19,0.0,-19.23438709620902,-0.2957905205224342
1986-11-20,0.0,-18.823576772637047,-2.497094846054499
1986-11-21,0.0,-13.162747239878057,2.496699607890585
1986-11-22,0.0,-7.672529544754933,1.8617984315623408
1986-11-23,0.0,-10.219703401030287,-1.858616570945785
1986-11-24,0.0,-7.637470334886092,5.803794588496092
1986-11-25,0.0,-3.319011892725828,4.043142291396974
1986-11-26,0.0,-7.811719485422368,3.2630632286486416
1986-11-27,0.0,-3.81118571239969,2.7762845599133037
1986-11-28,0.0,-3.213695686796437,4.175829884563039
1986-11-29,0.0,-8.228181695749639,-1.5338537443296711
1986-11-30,0.0,-11.63424875425256,-5.397470321579884
1986-12-01,0.0,-10.090573152534574,-3.8735178072933154
1986-12-02,0.0,-7.394486080516468,-0.673339932332397
1986-12-03,0.0,-9.79691702952027,-4.793181780298707
1986-12-04,0.0,-15.325948771751916,-7.015513935579142
1986-12-05,0.0,-14.094090686014049,-4.369584985401319
1986-12-06,0.0,-19.45262827515131,-6.700592725173287
1986-12-07,0.0,-13.136284703793734,-5.419525695883709
1986-12-08,0.0,-11.528596989250936,-2.986205546752266
1986-12-09,0.0,-20.93571102006633,-9.662826242183035
1986-12-10,0.0,-21.8937156172138,-3.598675820196099
1986-12-11,0.0,-16.901086573544227,-5.282608608012144
